Service Month,Health Authority Code,Health Authority Name,Disease,Distinct Client Count,Dispense Count,Dispensed Days Supplied,Dispensed Tablets,Distinct Prescriber Count
2017-12,Total,Total,Total,7493,10165,503727,796051,2424
2018-01,1,Interior,Other,595,850,37193,58942.5,292
2018-01,1,Interior,RA/Lupus,877,1191,56781,91161,358
2018-01,1,Interior,Total,1472,2041,93974,150103.5,535
2018-01,2,Fraser,Other,991,1541,62137,96921.5,454
2018-01,2,Fraser,RA/Lupus,1469,2151,95078,150415,568
2018-01,2,Fraser,Total,2460,3692,157215,247336.5,834
2018-01,3,Vancouver Coastal,Other,506,726,35684,52188.5,247
2018-01,3,Vancouver Coastal,RA/Lupus,734,1014,51805,74964,301
2018-01,3,Vancouver Coastal,Total,1240,1740,87489,127152.5,463
2018-01,4,Vancouver Island,Other,581,744,38656,62341,310
2018-01,4,Vancouver Island,RA/Lupus,594,778,37931,61017.5,324
2018-01,4,Vancouver Island,Total,1175,1522,76587,123358.5,520
2018-01,5,Northern,Other,197,231,11308,18363,128
2018-01,5,Northern,RA/Lupus,283,339,14709,24255,175
2018-01,5,Northern,Total,480,570,26017,42618,237
2018-01,9,Other/Unknown,Other,215,221,19817,35860,20
2018-01,9,Other/Unknown,RA/Lupus,4,4,314,584,4
2018-01,9,Other/Unknown,Total,219,225,20131,36444,24
2018-01,Total,Total,Other,3085,4313,204795,324616.5,1358
2018-01,Total,Total,RA/Lupus,3960,5477,256618,402396.5,1607
2018-01,Total,Total,Total,7045,9790,461413,727013,2413
2018-02,1,Interior,Other,560,771,33616,53659.5,293
2018-02,1,Interior,RA/Lupus,868,1148,54419,85635,365
2018-02,1,Interior,Total,1428,1919,88035,139294.5,542
2018-02,2,Fraser,Other,919,1353,57391,89252.5,425
2018-02,2,Fraser,RA/Lupus,1354,1962,84083,130967,542
2018-02,2,Fraser,Total,2273,3315,141474,220219.5,800
2018-02,3,Vancouver Coastal,Other,462,638,31354,44390.5,226
2018-02,3,Vancouver Coastal,RA/Lupus,684,898,46444,67720,280
2018-02,3,Vancouver Coastal,Total,1146,1536,77798,112110.5,432
2018-02,4,Vancouver Island,Other,518,650,33098,54137.5,287
2018-02,4,Vancouver Island,RA/Lupus,565,720,36095,59023,307
2018-02,4,Vancouver Island,Total,1083,1370,69193,113160.5,500
2018-02,5,Northern,Other,192,214,10723,17481,127
2018-02,5,Northern,RA/Lupus,290,334,15277,24972,185
2018-02,5,Northern,Total,482,548,26000,42453,253
2018-02,9,Other/Unknown,Other,171,174,15873,27926,15
2018-02,9,Other/Unknown,RA/Lupus,3,3,180,309,3
2018-02,9,Other/Unknown,Total,174,177,16053,28235,17
2018-02,Total,Total,Other,2822,3800,182055,286847,1279
2018-02,Total,Total,RA/Lupus,3764,5065,236498,368626,1554
2018-02,Total,Total,Total,6586,8865,418553,655473,2338
2018-03,1,Interior,Other,590,828,36722,60083.5,300
2018-03,1,Interior,RA/Lupus,936,1246,60398,96432,356
2018-03,1,Interior,Total,1526,2074,97120,156515.5,541
2018-03,2,Fraser,Other,1000,1471,63276,97726,448
2018-03,2,Fraser,RA/Lupus,1519,2242,97139,151423.5,577
2018-03,2,Fraser,Total,2519,3713,160415,249149.5,838
2018-03,3,Vancouver Coastal,Other,505,730,34476,50173.5,246
2018-03,3,Vancouver Coastal,RA/Lupus,684,955,48147,70757.5,280
2018-03,3,Vancouver Coastal,Total,1189,1685,82623,120931,455
2018-03,4,Vancouver Island,Other,600,781,39630,64921.5,277
2018-03,4,Vancouver Island,RA/Lupus,639,802,42848,69270.5,340
2018-03,4,Vancouver Island,Total,1239,1583,82478,134192,499
2018-03,5,Northern,Other,197,223,10955,17977.5,126
2018-03,5,Northern,RA/Lupus,321,376,17540,29578,200
2018-03,5,Northern,Total,518,599,28495,47555.5,259
2018-03,9,Other/Unknown,Other,190,190,17275,30528,21
2018-03,9,Other/Unknown,RA/Lupus,4,4,270,405,4
2018-03,9,Other/Unknown,Total,194,194,17545,30933,25
